,week,category,weekly_rank,show_title,season_title,weekly_hours_viewed,cumulative_weeks_in_top_10
0,2022-09-25,Films (English),1,Do Revenge,,42550000,2
1,2022-09-25,Films (English),2,Lou,,40570000,1
2,2022-09-25,Films (English),3,Father Stu,,13770000,1
3,2022-09-25,Films (English),4,I Used to Be Famous,,11630000,1
4,2022-09-25,Films (English),5,A Jazzman's Blues,,7820000,1
5,2022-09-25,Films (English),6,Me Time,,6230000,5
6,2022-09-25,Films (English),7,Minions & More Volume 1,,5660000,1
7,2022-09-25,Films (English),8,End of the Road,,5540000,3
8,2022-09-25,Films (English),9,This Is the End,,5320000,2
9,2022-09-25,Films (English),10,Dolittle,,5130000,2
10,2022-09-25,Films (Non-English),1,The Perfumier,,9380000,1
11,2022-09-25,Films (Non-English),2,ATHENA,,6920000,1
12,2022-09-25,Films (Non-English),3,No Limit,,5800000,3
13,2022-09-25,Films (Non-English),4,The Catholic School,,4900000,2
14,2022-09-25,Films (Non-English),5,Drifting Home,,4730000,2
15,2022-09-25,Films (Non-English),6,Mat Kilau,,4130000,2
16,2022-09-25,Films (Non-English),7,Loving Adults,,3860000,5
17,2022-09-25,Films (Non-English),8,El Jeremías,,3820000,2
18,2022-09-25,Films (Non-English),9,Fullmetal Alchemist The Final Alchemy,,3350000,1
19,2022-09-25,Films (Non-English),10,Broad Peak,,3210000,2
40,2022-09-18,Films (English),1,End of the Road,,27190000,2
41,2022-09-18,Films (English),2,Do Revenge,,26670000,1
42,2022-09-18,Films (English),3,Love in the Villa,,8870000,3
43,2022-09-18,Films (English),4,Me Time,,7910000,4
44,2022-09-18,Films (English),5,Morbius,,7530000,2
45,2022-09-18,Films (English),6,I Came By,,7360000,3
46,2022-09-18,Films (English),7,Despicable Me 2,,7160000,9
47,2022-09-18,Films (English),8,The Invisible Man,,6530000,1
48,2022-09-18,Films (English),9,Dolittle,,5580000,1
49,2022-09-18,Films (English),10,This Is the End,,5250000,1
50,2022-09-18,Films (Non-English),1,No Limit,,25490000,2
51,2022-09-18,Films (Non-English),2,The Catholic School,,6430000,1
52,2022-09-18,Films (Non-English),3,Ek Villain Returns,,5160000,2
53,2022-09-18,Films (Non-English),4,Loving Adults,,4900000,4
54,2022-09-18,Films (Non-English),5,Mat Kilau,,3970000,1
55,2022-09-18,Films (Non-English),6,Broad Peak,,3390000,1
56,2022-09-18,Films (Non-English),7,Jogi,,3080000,1
57,2022-09-18,Films (Non-English),8,El Jeremías,,2970000,1
58,2022-09-18,Films (Non-English),9,Fenced In,,2900000,3
59,2022-09-18,Films (Non-English),10,Drifting Home,,2370000,1
80,2022-09-11,Films (English),1,End of the Road,,30210000,1
81,2022-09-11,Films (English),2,Love in the Villa,,29530000,2
82,2022-09-11,Films (English),3,I Came By,,26800000,2
83,2022-09-11,Films (English),4,Me Time,,20660000,3
84,2022-09-11,Films (English),5,Morbius,,12200000,1
85,2022-09-11,Films (English),6,White Chicks,,9210000,1
86,2022-09-11,Films (English),7,Despicable Me 2,,7590000,8
87,2022-09-11,Films (English),8,Hanna,,7120000,1
88,2022-09-11,Films (English),9,Triple 9,,6530000,1
89,2022-09-11,Films (English),10,Labor Day,,6510000,1
90,2022-09-11,Films (Non-English),1,No Limit,,13530000,1
91,2022-09-11,Films (Non-English),2,Loving Adults,,12590000,3
92,2022-09-11,Films (Non-English),3,Fenced In,,9830000,2
93,2022-09-11,Films (Non-English),4,Under Her Control,,6550000,2
94,2022-09-11,Films (Non-English),5,Ek Villain Returns,,4750000,1
95,2022-09-11,Films (Non-English),6,Seoul Vibe,,3760000,3
96,2022-09-11,Films (Non-English),7,HIT: The First Case,,2700000,2
97,2022-09-11,Films (Non-English),8,"For Better, for Worse",,2540000,1
98,2022-09-11,Films (Non-English),9,HollyBlood,,2370000,1
99,2022-09-11,Films (Non-English),10,The Festival of Troubadours,,1960000,1
120,2022-09-04,Films (English),1,Me Time,,56560000,2
